Star,Constellation,Right ascension,Declination,App. mag.,Distance (ly),Spectral type,Brown dwarf,Mass (MJ),Radius (RJ),Orbital period (d),Semimajor axis (AU),Ecc.,Discovery year
54 Piscium,Pisces,00h39m22s,+21° 15′ 02″,5.88,36.1,K0V+T7.5,B,45.96 ±4.05[7],0.85[7],,476,,2006
81 Cancri,Cancer,09h12m14.69s,14°  59 ′  39.6″,6.77,66,G9V+L8,CD,,,,880,,2001
HD 63754,Puppis,07h49m45s,20° 12′ 27″,6.55,163.6,G0V + L/T,b,81.9,0.86,"26,791",16.9,0.26,2024
CT Chamaeleontis,Chamaeleon,11h04m09s,–76° 27′ 19″,12.36,538,K7+M8,b,17,2.2,,440,,2008
HD 984,Cetus,00h14m10.25s,−07° 11′ 56.82″,7.32,149.1,F7V,b,61,1.576,"51,100",28,0.76,2015
Eta Coronae Borealis,Corona Borealis,15h23m22.6s,30° 14′ 56″,5.02,58.3,G2+G2+L8,C,44.00 ±6.46[7],0.95[7],,3600,,2010
G 196-3,Ursa Major,10h04m22s,+50° 23′ 23″,11.77,50.2,M2.5+L3β,b,31.66 ±7.19[7],1.18[7],,300,,1998
Gliese 570,Libra,14h57m28s,−21° 24′ 56″,5.64,19.0,K4V+M1V+M3V,D,32.54 ±6.01[7],0.93[7],,1500,,2000
GU Piscium,Pisces,01h12m35.04s,+17° 03′ 55.7″,13.1,155.3,M3V+T3.5,b,11,,,2000,,2006
HD 89744,Ursa Major,10h22m10.56s,+41° 13′ 46.31″,5.74,126.2,F7IV,B,,,,,,2000
HD 100546,Musca,11h33m25s,–70° 11′ 41″,6.70,337.25,B9Vne,b,20,,,6.5?,,2005
HN Pegasi,Pegasus,21h44m28.46s,+14° 46′ 7.8″,,58.3,G0V+T2.5,B,17.06 ±6.9[7],1.14[7],,795,,2006
UScoCTIO 108,Scorpius,16h05m54s,–18° 18′ 43″,,473,M7,b,14,,,670,,2007
HD 41004 B,Pictor,05h59m50s,–48° 14′ 23″,12.33,139,K1IV+M2,b,18.4,,1.3283,0.0177,0.081,2004
CoRoT-15,Monoceros,06h28m27.81s,+6° 11′ 10.5″,22,,F7V,b,63.4,1.12,3.06036,0.045,0,2010
Xi Ursae Majoris B,Ursa Major,11h18m12s,+31° 32′ 15″,4.73,25.11,F8.5V,b,37,,3.98,0.06,0,1931
Upsilon Andromedae,Andromeda,01h36m48s,+41° 24′ 20″,4.63,43.9,F8V,Samh,13.98,,237.7,0.822,0.224,1999
Gliese 758,Lyra,19h23m34s,+33° 13′ 19″,6.36,51.9,G8V+T9,B,23,,96,21,,2009
Tau Geminorum,Gemini,07h11m08s,+30° 14′ 43″,4.40,302,K2III,b,18.1,,305,,,2004
HAT-P-13,Ursa Major,08h39m32s,+47° 21′ 07″,10.62,698,G4,c,15.2,,428.5,1.186,0.691,2009
