image,box_index,class_id,number_candidate,word_candidate,final_text,final_type,final_score
409.jpg,1,40,,,,,
409.jpg,2,32,,,,,
409.jpg,3,5,,,,,
409.jpg,4,6,৬,,৬,number,98.53
409.jpg,5,7,,,,,
409.jpg,6,8,৮,,৮,number,7.65
409.jpg,7,9,,,,,
409.jpg,8,0,,,,,
409.jpg,ALL,N/A,৬,,৬,summary,N/A
297.jpg,1,49,,ঢাকা,ঢাকা,word,90.32
297.jpg,2,10,,মেট্রো,মেট্রো,word,86.85
297.jpg,3,18,,,,,
297.jpg,4,3,,,,,
297.jpg,5,3,,,,,
297.jpg,6,3,,,,,
297.jpg,7,7,,,,,
297.jpg,8,4,,,,,
297.jpg,9,6,,,,,
297.jpg,ALL,N/A,,ঢাকা,ঢাকা,summary,N/A
1672.jpg,1,64,,কিশোরগঞ্জ,কিশোরগঞ্জ,word,89.90
1672.jpg,2,20,,,,,
1672.jpg,3,1,১,,১,number,88.35
1672.jpg,4,2,১,,১,number,80.36
1672.jpg,5,7,৭,,৭,number,74.18
1672.jpg,6,1,,,,,
1672.jpg,7,6,৬,,৬,number,99.35
1672.jpg,8,5,,,,,
1672.jpg,ALL,N/A,১,কিশোরগঞ্জ,কিশোরগঞ্জ ১,summary,N/A
2153.jpg,1,49,,,,,
2153.jpg,2,10,,,,,
2153.jpg,3,18,,,,,
2153.jpg,4,3,,,,,
2153.jpg,5,1,,,,,
2153.jpg,6,1,,,,,
2153.jpg,7,3,,,,,
2153.jpg,8,2,,,,,
2153.jpg,9,3,,,,,
2153.jpg,ALL,N/A,,,N/A,summary,N/A
517.jpg,1,46,,চুয়াডাঙ্গা,চুয়াডাঙ্গা,word,83.26
517.jpg,2,11,,,,,
517.jpg,3,7,,,,,
517.jpg,4,8,৮,,৮,number,82.35
517.jpg,5,9,,,,,
517.jpg,6,0,,,,,
517.jpg,7,1,১,,১,number,99.72
517.jpg,8,2,২,,২,number,99.78
517.jpg,ALL,N/A,৮,চুয়াডাঙ্গা,চুয়াডাঙ্গা ৮,summary,N/A
1201.jpg,1,69,,মাদারীপুর,মাদারীপুর,word,91.23
1201.jpg,2,14,,,,,
1201.jpg,3,1,,,,,
1201.jpg,4,4,,,,,
1201.jpg,5,7,,,,,
1201.jpg,6,8,,,,,
1201.jpg,7,9,,,,,
1201.jpg,8,2,,,,,
1201.jpg,ALL,N/A,,মাদারীপুর,মাদারীপুর,summary,N/A
893.jpg,1,91,,রংপুর,রংপুর,word,99.14
893.jpg,2,25,,,,,
893.jpg,3,1,,,,,
893.jpg,4,1,,,,,
893.jpg,5,2,,,,,
893.jpg,6,0,,,,,
893.jpg,7,0,,,,,
893.jpg,8,3,,,,,
893.jpg,ALL,N/A,,রংপুর,রংপুর,summary,N/A
135.jpg,1,77,,নারায়ণগঞ্জ,নারায়ণগঞ্জ,word,78.67
135.jpg,2,14,,,,,
135.jpg,3,1,,,,,
135.jpg,4,1,,,,,
135.jpg,5,0,,,,,
135.jpg,6,2,,,,,
135.jpg,7,4,,,,,
135.jpg,8,8,,,,,
135.jpg,ALL,N/A,,নারায়ণগঞ্জ,নারায়ণগঞ্জ,summary,N/A
548.jpg,1,51,,,,,
548.jpg,2,17,,,,,
548.jpg,3,1,,,,,
548.jpg,4,2,,,,,
548.jpg,5,3,,,,,
548.jpg,6,4,৪,,৪,number,12.95
548.jpg,7,5,,,,,
548.jpg,8,6,,,,,
548.jpg,ALL,N/A,৪,,৪,summary,N/A
2650.jpg,1,80,,নেত্রকোনা,নেত্রকোনা,word,80.98
2650.jpg,2,20,,,,,
2650.jpg,3,1,,,,,
2650.jpg,4,1,,,,,
2650.jpg,5,9,,,,,
2650.jpg,6,3,,,,,
2650.jpg,7,2,,,,,
2650.jpg,8,8,৮,,৮,number,99.96
2650.jpg,ALL,N/A,৮,নেত্রকোনা,নেত্রকোনা ৮,summary,N/A
254.jpg,1,49,,ঢাকা,ঢাকা,word,93.88
254.jpg,2,10,,মেট্রো,মেট্রো,word,85.79
254.jpg,3,18,,,,,
254.jpg,4,2,,,,,
254.jpg,5,1,,,,,
254.jpg,6,1,,,,,
254.jpg,7,8,,,,,
254.jpg,8,5,,,,,
254.jpg,9,7,,,,,
254.jpg,ALL,N/A,,ঢাকা,ঢাকা,summary,N/A
1742.jpg,1,49,,,,,
1742.jpg,2,10,,মেট্রো,মেট্রো,word,97.00
1742.jpg,3,18,,,,,
1742.jpg,4,3,,,,,
1742.jpg,5,5,,,,,
1742.jpg,6,8,৮,,৮,number,100.00
1742.jpg,7,7,,,,,
1742.jpg,8,8,৮,,৮,number,64.61
1742.jpg,9,8,৮,,৮,number,100.00
1742.jpg,ALL,N/A,৮,মেট্রো,মেট্রো ৮,summary,N/A
1221.jpg,1,71,,,,,
1221.jpg,2,17,,,,,
1221.jpg,3,2,,,,,
1221.jpg,4,4,৪,,৪,number,4.47
1221.jpg,5,6,,,,,
1221.jpg,6,8,,,,,
1221.jpg,7,0,,,,,
1221.jpg,8,1,,,,,
1221.jpg,ALL,N/A,৪,,৪,summary,N/A
2233.jpg,1,64,,,,,
2233.jpg,2,20,,,,,
2233.jpg,3,1,,,,,
2233.jpg,4,2,,,,,
2233.jpg,5,1,৩,,৩,number,0.49
2233.jpg,6,3,,,,,
2233.jpg,7,5,,,,,
2233.jpg,8,5,৫,,৫,number,52.35
2233.jpg,ALL,N/A,৩,,৩,summary,N/A
385.jpg,1,36,,,,,
385.jpg,2,34,,,,,
385.jpg,3,7,৭,,৭,number,70.50
385.jpg,4,8,৮,,৮,number,24.51
385.jpg,5,9,,,,,
385.jpg,6,0,,,,,
385.jpg,7,1,,,,,
385.jpg,8,2,১,,১,number,67.07
385.jpg,ALL,N/A,৭,,৭,summary,N/A
1864.jpg,1,49,,,,,
1864.jpg,2,10,,মেট্রো,মেট্রো,word,73.73
1864.jpg,3,18,,,,,
1864.jpg,4,3,,,,,
1864.jpg,5,5,৫,,৫,number,97.89
1864.jpg,6,9,,,,,
1864.jpg,7,5,৫,,৫,number,98.97
1864.jpg,8,6,৬,,৬,number,98.14
1864.jpg,9,8,৮,,৮,number,100.00
1864.jpg,ALL,N/A,৫,মেট্রো,মেট্রো ৫,summary,N/A
2450.jpg,1,49,,,,,
2450.jpg,2,10,,,,,
2450.jpg,3,25,,,,,
2450.jpg,4,2,,,,,
2450.jpg,5,9,৯,,৯,number,5.80
2450.jpg,6,6,,,,,
2450.jpg,7,1,,,,,
2450.jpg,8,3,,,,,
2450.jpg,9,9,,,,,
2450.jpg,ALL,N/A,৯,,৯,summary,N/A
1107.jpg,1,62,,,,,
1107.jpg,2,30,,,,,
1107.jpg,3,2,,,,,
1107.jpg,4,4,,,,,
1107.jpg,5,6,,,,,
1107.jpg,6,8,৮,,৮,number,22.48
1107.jpg,7,0,,,,,
1107.jpg,8,1,,,,,
1107.jpg,ALL,N/A,৮,,৮,summary,N/A
1785.jpg,1,44,,,,,
1785.jpg,2,10,,মেট্রো,মেট্রো,word,88.19
1785.jpg,3,18,,,,,
1785.jpg,4,1,,,,,
1785.jpg,5,3,,,,,
1785.jpg,6,5,,,,,
1785.jpg,7,7,,,,,
1785.jpg,8,8,,,,,
1785.jpg,9,5,,,,,
1785.jpg,ALL,N/A,,মেট্রো,মেট্রো,summary,N/A
521.jpg,1,38,,বরগুনা,বরগুনা,word,91.92
521.jpg,2,17,,,,,
521.jpg,3,1,,,,,
521.jpg,4,2,,,,,
521.jpg,5,3,,,,,
521.jpg,6,4,,,,,
521.jpg,7,5,,,,,
521.jpg,8,6,,,,,
521.jpg,ALL,N/A,,বরগুনা,বরগুনা,summary,N/A
933.jpg,1,98,,টাঙ্গাইল,টাঙ্গাইল,word,84.82
933.jpg,2,20,,,,,
933.jpg,3,1,১,,১,number,99.95
933.jpg,4,1,১,,১,number,99.99
933.jpg,5,5,৫,,৫,number,94.43
933.jpg,6,5,,,,,
933.jpg,7,8,৮,,৮,number,77.45
933.jpg,8,8,,,,,
933.jpg,ALL,N/A,১,টাঙ্গাইল,টাঙ্গাইল ১,summary,N/A
749.jpg,1,58,,,,,
749.jpg,2,25,,,,,
749.jpg,3,1,,,,,
749.jpg,4,2,২,,২,number,85.57
749.jpg,5,3,,,,,
749.jpg,6,2,১,,১,number,52.79
749.jpg,7,0,,,,,
749.jpg,8,1,১,,১,number,100.00
749.jpg,ALL,N/A,১,,১,summary,N/A
810.jpg,1,85,,,,,
810.jpg,2,20,,,,,
810.jpg,3,1,,,,,
810.jpg,4,1,,,,,
810.jpg,5,8,,,,,
810.jpg,6,5,,,,,
810.jpg,7,9,,,,,
810.jpg,8,9,৯,,৯,number,90.96
810.jpg,ALL,N/A,৯,,৯,summary,N/A
492.jpg,1,41,০,,০,number,8.19
492.jpg,2,31,,,,,
492.jpg,3,9,,,,,
492.jpg,4,0,,,,,
492.jpg,5,1,,,,,
492.jpg,6,2,,,,,
492.jpg,7,3,,,,,
492.jpg,8,4,,,,,
492.jpg,ALL,N/A,০,,০,summary,N/A
2191.jpg,1,49,,,,,
2191.jpg,2,10,৫,,৫,number,7.49
2191.jpg,3,19,,,,,
2191.jpg,4,1,,,,,
2191.jpg,5,7,,,,,
2191.jpg,6,0,,,,,
2191.jpg,7,8,৮,,৮,number,100.00
2191.jpg,8,0,,,,,
2191.jpg,9,2,,,,,
2191.jpg,ALL,N/A,৫,,৫,summary,N/A
878.jpg,1,88,,রাজবাড়ী,রাজবাড়ী,word,81.86
878.jpg,2,20,,,,,
878.jpg,3,1,,,,,
878.jpg,4,1,,,,,
878.jpg,5,2,,,,,
878.jpg,6,5,,,,,
878.jpg,7,3,,,,,
878.jpg,8,7,৭,,৭,number,89.27
878.jpg,ALL,N/A,৭,রাজবাড়ী,রাজবাড়ী ৭,summary,N/A
840.jpg,1,87,,,,,
840.jpg,2,10,,মেট্রো,মেট্রো,word,78.87
840.jpg,3,31,,,,,
840.jpg,4,1,১,,১,number,93.37
840.jpg,5,1,১,,১,number,99.21
840.jpg,6,0,,,,,
840.jpg,7,2,২,,২,number,99.58
840.jpg,8,0,,,,,
840.jpg,9,9,,,,,
840.jpg,ALL,N/A,১,মেট্রো,মেট্রো ১,summary,N/A
1375.jpg,1,91,,রংপুর,রংপুর,word,99.95
1375.jpg,2,27,,,,,
1375.jpg,3,2,১,,১,number,30.57
1375.jpg,4,3,,,,,
1375.jpg,5,4,,,,,
1375.jpg,6,5,,,,,
1375.jpg,7,6,৬,,৬,number,99.84
1375.jpg,8,7,,,,,
1375.jpg,ALL,N/A,১,রংপুর,রংপুর ১,summary,N/A
121.jpeg,1,98,,,,,
121.jpeg,2,33,,,,,
121.jpeg,3,1,,,,,
121.jpeg,4,1,,,,,
121.jpeg,5,1,,,,,
121.jpeg,6,3,,,,,
121.jpeg,7,0,,,,,
121.jpeg,8,7,,,,,
121.jpeg,ALL,N/A,,,N/A,summary,N/A
275.jpg,1,49,,,,,
275.jpg,2,10,,,,,
275.jpg,3,24,,,,,
275.jpg,4,1,,,,,
275.jpg,5,2,,,,,
275.jpg,6,2,,,,,
275.jpg,7,2,,,,,
275.jpg,8,9,,,,,
275.jpg,9,9,,,,,
275.jpg,ALL,N/A,,,N/A,summary,N/A
595.jpg,1,55,,গোপালগঞ্জ,গোপালগঞ্জ,word,73.74
595.jpg,2,21,,,,,
595.jpg,3,2,২,,২,number,99.95
595.jpg,4,3,,,,,
595.jpg,5,4,,,,,
595.jpg,6,5,,,,,
595.jpg,7,6,৬,,৬,number,99.94
595.jpg,8,7,,,,,
595.jpg,ALL,N/A,২,গোপালগঞ্জ,গোপালগঞ্জ ২,summary,N/A
1817.jpg,1,49,,,,,
1817.jpg,2,10,৫৬৬,,৫৬৬,number,10.12
1817.jpg,3,25,,,,,
1817.jpg,4,2,১,,১,number,3.75
1817.jpg,5,1,১,,১,number,71.69
1817.jpg,6,5,৫,,৫,number,85.54
1817.jpg,7,8,৮,,৮,number,14.19
1817.jpg,8,8,,,,,
1817.jpg,9,2,,,,,
1817.jpg,ALL,N/A,১,,১,summary,N/A
2405.jpg,1,49,,,,,
2405.jpg,2,10,,মেট্রো,মেট্রো,word,77.83
2405.jpg,3,18,,,,,
2405.jpg,4,4,৪,,৪,number,33.52
2405.jpg,5,5,৫,,৫,number,85.57
2405.jpg,6,6,৬,,৬,number,93.45
2405.jpg,7,4,৪,,৪,number,65.62
2405.jpg,8,3,,,,,
2405.jpg,9,2,,,,,
2405.jpg,ALL,N/A,৪,মেট্রো,মেট্রো ৪,summary,N/A
90.jpeg,1,39,,বরিশাল,বরিশাল,word,93.07
90.jpeg,2,10,,,,,
90.jpeg,3,20,,,,,
90.jpeg,4,1,১,,১,number,38.92
90.jpeg,5,2,২,,২,number,71.02
90.jpeg,6,9,,,,,
90.jpeg,7,4,,,,,
90.jpeg,8,6,,,,,
90.jpeg,9,8,,,,,
90.jpeg,ALL,N/A,১,বরিশাল,বরিশাল ১,summary,N/A
1339.jpg,1,76,,,,,
1339.jpg,2,32,,,,,
1339.jpg,3,9,,,,,
1339.jpg,4,0,,,,,
1339.jpg,5,1,,,,,
1339.jpg,6,2,,,,,
1339.jpg,7,3,,,,,
1339.jpg,8,4,,,,,
1339.jpg,ALL,N/A,,,N/A,summary,N/A
882.jpg,1,88,,রাজবাড়ী,রাজবাড়ী,word,77.10
882.jpg,2,25,,,,,
882.jpg,3,1,১,,১,number,99.97
882.jpg,4,1,১,,১,number,99.98
882.jpg,5,2,,,,,
882.jpg,6,9,,,,,
882.jpg,7,3,,,,,
882.jpg,8,3,৩,,৩,number,98.83
882.jpg,ALL,N/A,১,রাজবাড়ী,রাজবাড়ী ১,summary,N/A
1371.jpg,1,91,,রংপুর,রংপুর,word,99.86
1371.jpg,2,3,,,,,
1371.jpg,3,4,,,,,
1371.jpg,4,27,,,,,
1371.jpg,5,0,,,,,
1371.jpg,6,9,,,,,
1371.jpg,7,8,৮,,৮,number,58.10
1371.jpg,8,7,,,,,
1371.jpg,ALL,N/A,৮,রংপুর,রংপুর ৮,summary,N/A
1835.jpg,1,49,,ঢাকা,ঢাকা,word,84.10
1835.jpg,2,10,,মেট্রো,মেট্রো,word,84.20
1835.jpg,3,25,,,,,
1835.jpg,4,3,,,,,
1835.jpg,5,2,,,,,
1835.jpg,6,2,,,,,
1835.jpg,7,2,১,,১,number,2.57
1835.jpg,8,5,,,,,
1835.jpg,9,2,,,,,
1835.jpg,ALL,N/A,১,ঢাকা,ঢাকা ১,summary,N/A
2609.jpg,1,65,,,,,
2609.jpg,2,25,,,,,
2609.jpg,3,1,,,,,
2609.jpg,4,3,,,,,
2609.jpg,5,1,,,,,
2609.jpg,6,2,,,,,
2609.jpg,7,5,,,,,
2609.jpg,8,0,,,,,
2609.jpg,ALL,N/A,,,N/A,summary,N/A
1156.jpg,1,65,,কুড়িগ্রাম,কুড়িগ্রাম,word,69.49
