epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,443.344,2.55664,3.04143,1.48116,0.71167,0.119,0.09678,0.04492,2.38674,2.50545,1.3751,0.0667476,3.32857e-05,3.32857e-05
2,1719.91,2.34794,2.37159,1.35168,0.63475,0.17249,0.13917,0.05934,2.31761,2.28494,1.36012,0.0334474,6.64863e-05,6.64863e-05
3,2718.59,2.27581,2.21069,1.33172,0.44162,0.22447,0.16463,0.07094,2.29915,2.20116,1.38932,0.000146776,9.91573e-05,9.91573e-05
4,4250.59,2.24784,2.14452,1.31106,0.55147,0.23567,0.20438,0.08878,2.27114,2.18413,1.36952,9.82162e-05,9.82162e-05,9.82162e-05
5,5576.49,2.21233,2.10742,1.3033,0.37191,0.24119,0.19814,0.08889,2.2204,2.12917,1.30812,9.68436e-05,9.68436e-05,9.68436e-05
6,6876.93,2.19207,2.07663,1.29831,0.28858,0.34127,0.26213,0.11153,2.2069,2.06517,1.31103,9.5098e-05,9.5098e-05,9.5098e-05
7,8580.47,2.16992,2.04014,1.28384,0.4578,0.3692,0.27237,0.11953,2.26622,2.21896,1.34705,9.29932e-05,9.29932e-05,9.29932e-05
8,10050.7,2.14308,1.96191,1.26451,0.52638,0.35154,0.30751,0.13359,2.21781,1.98797,1.32756,9.05463e-05,9.05463e-05,9.05463e-05
9,11158.7,2.12997,1.96062,1.26737,0.37949,0.36187,0.32392,0.14775,2.16906,1.9561,1.31513,8.7777e-05,8.7777e-05,8.7777e-05
10,12672.1,2.11115,1.90587,1.26987,0.32834,0.35403,0.30796,0.13903,2.13586,2.01543,1.28756,8.47076e-05,8.47076e-05,8.47076e-05
11,14273.5,2.11791,1.90783,1.26176,0.50175,0.38307,0.34325,0.15218,2.14859,1.93571,1.30525,8.13627e-05,8.13627e-05,8.13627e-05
12,15603.6,2.09619,1.87377,1.25595,0.38153,0.36337,0.31958,0.14189,2.17165,1.92365,1.31163,7.77694e-05,7.77694e-05,7.77694e-05
13,17012,2.08195,1.85847,1.24179,0.53889,0.39397,0.36106,0.16321,2.1461,1.90041,1.29506,7.39565e-05,7.39565e-05,7.39565e-05
14,18241.7,2.07167,1.85344,1.23623,0.32904,0.3644,0.32876,0.15152,2.16162,1.9423,1.30217,6.99547e-05,6.99547e-05,6.99547e-05
15,19697.9,2.05508,1.83175,1.23145,0.53745,0.40064,0.35355,0.16239,2.16284,1.88766,1.30468,6.57963e-05,6.57963e-05,6.57963e-05
16,21119.4,2.05308,1.8007,1.23175,0.38294,0.4089,0.36129,0.16894,2.12226,1.88642,1.28718,6.15148e-05,6.15148e-05,6.15148e-05
17,22491.4,2.05044,1.77152,1.23275,0.37641,0.40736,0.34425,0.15724,2.15438,1.86402,1.29938,5.71445e-05,5.71445e-05,5.71445e-05
18,24022,2.0205,1.76843,1.22997,0.40057,0.41126,0.36938,0.17785,2.10567,1.83914,1.27301,5.27208e-05,5.27208e-05,5.27208e-05
19,25402,2.02059,1.74643,1.21558,0.38338,0.41852,0.35963,0.1706,2.12862,1.86724,1.28361,4.82792e-05,4.82792e-05,4.82792e-05
20,26800.1,2.01327,1.73896,1.21355,0.37993,0.39933,0.36542,0.17043,2.10171,1.83565,1.27528,4.38555e-05,4.38555e-05,4.38555e-05
21,28242.6,1.99562,1.71892,1.21144,0.41099,0.38545,0.37755,0.17414,2.12882,1.81279,1.27995,3.94852e-05,3.94852e-05,3.94852e-05
22,29570,1.99812,1.71489,1.21169,0.42316,0.39977,0.37239,0.17625,2.08807,1.80353,1.26489,3.52037e-05,3.52037e-05,3.52037e-05
23,30865.7,1.98058,1.69365,1.19873,0.43659,0.38169,0.37233,0.17053,2.10912,1.81285,1.27583,3.10453e-05,3.10453e-05,3.10453e-05
24,32237.4,1.97169,1.66404,1.20049,0.38972,0.39856,0.38275,0.18295,2.09768,1.80817,1.2671,2.70435e-05,2.70435e-05,2.70435e-05
25,33529.8,1.96944,1.64562,1.19397,0.41434,0.41191,0.37777,0.18168,2.09809,1.80015,1.27198,2.32306e-05,2.32306e-05,2.32306e-05
26,34918.4,1.95819,1.63733,1.19508,0.43555,0.39272,0.37619,0.18003,2.10623,1.81862,1.26944,1.96373e-05,1.96373e-05,1.96373e-05
27,36436,1.94487,1.6361,1.19886,0.41623,0.42352,0.39435,0.1867,2.10487,1.80352,1.26538,1.62924e-05,1.62924e-05,1.62924e-05
28,37923.8,1.94505,1.61974,1.19193,0.4532,0.39181,0.39206,0.18768,2.09393,1.77977,1.26912,1.3223e-05,1.3223e-05,1.3223e-05
